form	lemma	POS	morph
ལེའུ་	ལེའུ་	NOUN
བཞི་པ་	བཞི་པ་	ADJ
།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
རྗེས་དཔག་	རྗེས་དཔག་	OTHER
རང་དོན་	རང་དོན་	NOUN
བདེ་བ་	བདེ་བ་	VERB
ར་	ལ་	PART
གཤེགས་	གཤེགས་	VERB
བརྙེས་	བརྙེས་	NO_POS
ན་	ནས་	PART
།།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
འགྲོ་	འགྲོ་	VERB
སྐྱོབ་	སྐྱོབ་	VERB
ལ་	ལ་	PART
བཏུད་	བཏུད་	NO_POS
དེ་	སྟེ་	PART
།།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
རྗེས་སུ་	རྗེས་སུ་	OTHER
དཔག་པ་	དཔག་པ་	VERB
ནི་	ནི་	NO_POS
།།		PUNCT
གཞན་	གཞན་	DET
ལ་	ལ་	PART
ཕན་པ་	ཕན་པ་	VERB
འི་	གི་	PART
བསམ་པ་	བསམ་པ་	VERB
ས་	གིས་	PART
བཤད་	བཤད་	VERB
།།		PUNCT
ཅེས་	ཅེས་	PART
དེ་ལྟ་	དེ་ལྟ་	NO_POS
ཕྱག་	ཕྱག་	NOUN
འཚལ་བ་	འཚལ་བ་	VERB
དང་	དང་	NO_POS
དམ་བཅའ་བ་	དམ་བཅའ་བ་	NOUN
སྔོན་	སྔོན་	ADV
དུ་	ལ་	PART
སོང་	སོང་	VERB
ན་	ནས་	PART
།		PUNCT
གཞན་དོན་	གཞན་དོན་	NOUN
རྗེས་སུ་	རྗེས་སུ་	OTHER
དཔག་པ་	དཔག་པ་	VERB
འི་	གི་	PART
ལེའུ་	ལེའུ་	NOUN
བཤད་པ་	བཤད་པ་	VERB
ལ་	ལ་	PART
གསུམ་	གསུམ་	NUM
།		PUNCT
ལེའུ་	ལེའུ་	NOUN
སྔ་ཕྱི་	སྔ་ཕྱི་	ADJ
འི་	གི་	PART
འབྲེལ་	འབྲེལ་	VERB
།		PUNCT
ལེའུ་	ལེའུ་	NOUN
འི་	གི་	PART
གཞུང་དངོས་	གཞུང་དངོས་	OTHER
།		PUNCT
ལེའུ་	ལེའུ་	NOUN
འི་	གི་	PART
མཚན་	མཚན་	NOUN
བསྟན་པ་	བསྟན་པ་	VERB
ས་	གིས་	PART
དོན་	དོན་	NOUN
བསྡུ་བ་	བསྡུ་བ་	VERB
འོ་	གོ་	PART
།།		PUNCT
དང་པོ་	དང་པོ་	ADJ
ལ་	ལ་	PART
།		PUNCT
ཀུན་	ཀུན་	DET
ལ་	ལ་	ADP
ས་	གིས་	PART
བཏུས་	བཏུས་	NO_POS
ཀྱི་	གི་	PART
ལེའུ་	ལེའུ་	NOUN
འི་	གི་	PART
གོ་རིམ་	གོ་རིམ་	NOUN
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
མི་མཐུན་པ་	མི་མཐུན་པ་	NO_POS
མེད་	མེད་	VERB
མོད་	མོད་	VERB
ཀྱི་	གི་	PART
།		PUNCT
རྣམ་འགྲེལ་	རྣམ་འགྲེལ་	PROPN
གྱི་	གི་	PART
ལེའུ་	ལེའུ་	NOUN
འི་	གི་	PART
གོ་རིམ་	གོ་རིམ་	NOUN
ལ་	ལ་	PART
།		PUNCT
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
ལྷ་དབང་	ལྷ་དབང་	OTHER
བློ་	བློ་	NOUN
ནི་	ནི་	NO_POS
།		PUNCT
ཚད་མ་	ཚད་མ་	NOUN
འི་	གི་	PART
མདོ་	མདོ་	NOUN
དང་	དང་	NO_POS
མཐུན་པ་	མཐུན་པ་	VERB
ར་	ལ་	PART
རྣམ་འགྲེལ་	རྣམ་འགྲེལ་	PROPN
འདི་	འདི་	DET
ར་	ལ་	PART
མངོན་སུམ་	མངོན་སུམ་	NOUN
གྱི་	གི་	PART
དེ་	སྟེ་	PART
མ་	མ་	PART
ཐག་	ཐག་	VERB
ཏུ་	ལ་	PART
རང་དོན་	རང་དོན་	NOUN
འཆད་པ་	འཆད་པ་	VERB
སྐབས་	སྐབས་	NOUN
སུ་	ལ་	PART
བབ་	བབ་	VERB
ན་	ལ་	PART
ཡང་	ཀྱང་	PART
དགོས་པ་	དགོས་པ་	VERB
འི་	གི་	PART
དབང་	དབང་	NOUN
གིས་	གིས་	PART
སྔ་	སྔ་	NOUN
སློབ་དཔོན་	སློབ་དཔོན་	NOUN
གྱིས་	གིས་	PART
བསྟན་	བསྟན་	VERB
ཟིན་པ་	ཟིན་པ་	VERB
ས་	གིས་	PART
ཡང་	ཀྱང་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
མི་	མི་	PART
འཆད་	འཆད་	VERB
དོ་	གོ་	PART
།།		PUNCT
གོ་རིམ་	གོ་རིམ་	NOUN
བཟློག་པ་	བཟློག་པ་	VERB
འི་	གི་	PART
དགོས་པ་	དགོས་པ་	VERB
ནི་	ནི་	NO_POS
།		PUNCT
ཚད་མ་	ཚད་མ་	NOUN
འི་	གི་	PART
མཚན་ཉིད་	མཚན་ཉིད་	NOUN
ཀྱི་	གི་	PART
བསྟན་བཅོས་	བསྟན་བཅོས་	NOUN
འཆད་པ་	འཆད་པ་	VERB
འི་	གི་	PART
རྒྱུ་	རྒྱུ་	NOUN
རྗེས་སུ་	རྗེས་སུ་	OTHER
དཔག་པ་	དཔག་པ་	VERB
སྔ་	སྔ་	NOUN
རྣམ་པ་	རྣམ་པ་	NOUN
ར་	ལ་	PART
བཞག་པ་	བཞག་པ་	VERB
དང་	དང་	NO_POS
ཞེས་་	ཞེས་པ་	PART
ར་	ལ་	PART
བསྟན་	བསྟན་	VERB
ཟིན་	ཟིན་	VERB
ལ་	ལ་	PART
།		PUNCT
ད་ནི་	ད་ནི་	NO_POS
གཞན་དོན་	གཞན་དོན་	NOUN
རྗེས་དཔག་	རྗེས་དཔག་	OTHER
ལུས་པ་	ལུས་པ་	VERB
ས་	གིས་	PART
དེ་	སྟེ་	PART
འཆད་པ་	འཆད་པ་	VERB
ར་	ལ་	PART
བཞེད་པ་	བཞེད་པ་	VERB
ཡིན་	ཡིན་	NO_POS
ཏེ་	སྟེ་	PART
།		PUNCT
ཇི་སྐད་	ཇི་སྐད་	NO_POS
དུ་	ལ་	PART
།		PUNCT
		
རྗེས་སུ་	རྗེས་སུ་	OTHER
དཔག་པ་	དཔག་པ་	VERB
ནི་	ནི་	NO_POS
རྣམ་པ་	རྣམ་པ་	NOUN
གཉིས་	གཉིས་	NUM
ཏེ་	སྟེ་	PART
།		PUNCT
རང་	རང་	PRON
གི་	གི་	PART
དོན་	དོན་	NOUN
དང་	དང་	NO_POS
།		PUNCT
གཞན་	གཞན་	DET
གྱི་	གི་	PART
དོན་	དོན་	NOUN
ཏོ་	གོ་	PART
། །		PUNCT
དེ་	སྟེ་	PART
ལ་	ལ་	PART
འདི་	འདི་	DET
ར་	ལ་	PART
རང་	རང་	PRON
གི་	གི་	PART
དོན་	དོན་	NOUN
